family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
knapsack,strongly,30,0,penalty,floor,30,300000,-8083,0.0323,0.04942,0.01042,-7983,14825
knapsack,strongly,30,0,penalty,ils,30,300000,-8083,0.9677,0.02477,1.6e-05,-8083,7432.5
knapsack,strongly,30,0,penalty,mga,30,300000,-8083,0.7419,0.07554,8e-05,-8083,22662
knapsack,strongly,30,1,penalty,ils,30,300000,-8991,0.4839,0.16212,0.000832,-8989,48635
knapsack,strongly,30,1,penalty,floor,30,300000,-8991,0.0,inf,0.011115,-8888,
knapsack,strongly,30,1,penalty,mga,30,300000,-8991,0.5806,0.34513,0.001909,-8991,103538.0
knapsack,strongly,30,2,penalty,ils,30,300000,-8236,0.7419,0.20344,0.000157,-8236,61031
knapsack,strongly,30,2,penalty,floor,30,300000,-8236,0.0,inf,0.017974,-8102,
knapsack,strongly,30,2,penalty,mga,30,300000,-8236,0.3871,0.45172,0.000533,-8231,135515.5
knapsack,strongly,30,0,repair,floor,30,300000,-8083,1.0,0.00323,0.0,-8083,970
knapsack,strongly,30,2,repair,floor,30,300000,-8236,1.0,0.00475,0.0,-8236,1424
knapsack,strongly,50,0,penalty,floor,50,500000,-16940,0.0,inf,0.022209,-16539,
knapsack,strongly,50,0,penalty,ils,50,500000,-16940,0.0645,0.40498,0.002929,-16915,202492.5
knapsack,strongly,50,0,penalty,mga,50,500000,-16940,0.0,inf,0.005143,-16840,
knapsack,strongly,30,0,repair,ils,30,300000,-8083,1.0,0.00308,0.0,-8083,924
knapsack,strongly,30,2,repair,ils,30,300000,-8236,1.0,0.00453,0.0,-8236,1359
knapsack,strongly,30,1,repair,ils,30,300000,-8991,1.0,0.01695,0.0,-8991,5086
knapsack,strongly,50,1,penalty,floor,50,500000,-16379,0.0,inf,0.013513,-16168,
knapsack,strongly,50,1,penalty,ils,50,500000,-16379,0.4516,0.52891,0.002773,-16378,264455.5
knapsack,strongly,50,1,penalty,mga,50,500000,-16379,0.2258,0.35826,0.00416,-16279,179128
knapsack,strongly,30,1,repair,floor,30,300000,-8991,1.0,0.03353,0.0,-8991,10059
knapsack,strongly,30,2,repair,mga,30,300000,-8236,1.0,0.01702,0.0,-8236,5105
knapsack,strongly,50,1,repair,ils,50,500000,-16379,1.0,0.01143,0.0,-16379,5716
knapsack,strongly,50,2,penalty,floor,50,500000,-16778,0.0,inf,0.018951,-16468,
knapsack,strongly,50,2,penalty,ils,50,500000,-16778,0.0,inf,0.005608,-16678,
knapsack,strongly,50,2,penalty,mga,50,500000,-16778,0.0,inf,0.005989,-16678,
knapsack,strongly,30,0,repair,mga,30,300000,-8083,0.9032,0.00112,4.8e-05,-8083,334.5
knapsack,strongly,50,1,repair,floor,50,500000,-16379,1.0,0.06453,0.0,-16379,32267
knapsack,strongly,50,1,repair,mga,50,500000,-16379,1.0,0.00818,0.0,-16379,4089
